#M	Z	ce-136	ce-138	ce-140	ce-142
1.200000e+01	2.000000e-02	7.607000e-12	1.042000e-11	3.724000e-09	4.746000e-10
1.500000e+01	2.000000e-02	2.386000e-11	3.267000e-11	1.168000e-08	1.489000e-09
2.000000e+01	2.000000e-02	3.857000e-11	5.281000e-11	1.888000e-08	2.406000e-09
2.500000e+01	2.000000e-02	1.021000e-10	1.399000e-10	5.000000e-08	6.372000e-09
