#M	Z	cd-106	cd-108	cd-110	cd-111	cd-112	cd-113	cd-114	cd-116
1.200000e+01	2.000000e-02	5.759000e-11	4.178000e-11	5.972000e-10	6.176000e-10	1.175000e-09	6.002000e-10	1.424000e-09	3.777000e-10
1.500000e+01	2.000000e-02	1.806000e-10	1.310000e-10	1.873000e-09	1.937000e-09	3.684000e-09	1.883000e-09	4.465000e-09	1.185000e-09
2.000000e+01	2.000000e-02	2.920000e-10	2.118000e-10	3.028000e-09	3.131000e-09	5.956000e-09	3.043000e-09	7.218000e-09	1.915000e-09
2.500000e+01	2.000000e-02	7.733000e-10	5.610000e-10	8.018000e-09	8.292000e-09	1.577000e-08	8.059000e-09	1.911000e-08	5.071000e-09
