#M	Z	sc-45
1.200000e+01	2.000000e-02	4.913000e-08
1.500000e+01	2.000000e-02	1.541000e-07
2.000000e+01	2.000000e-02	2.491000e-07
2.500000e+01	2.000000e-02	6.597000e-07
