#M	Z	sn-112	sn-114	sn-115	sn-116	sn-117	sn-118	sn-119	sn-120	sn-122	sn-124
1.200000e+01	2.000000e-02	1.108000e-10	7.655000e-11	3.972000e-11	1.718000e-09	9.151000e-10	2.912000e-09	1.041000e-09	3.985000e-09	5.754000e-10	7.314000e-10
1.500000e+01	2.000000e-02	3.476000e-10	2.401000e-10	1.246000e-10	5.389000e-09	2.870000e-09	9.135000e-09	3.265000e-09	1.250000e-08	1.805000e-09	2.294000e-09
2.000000e+01	2.000000e-02	5.618000e-10	3.881000e-10	2.014000e-10	8.711000e-09	4.639000e-09	1.477000e-08	5.278000e-09	2.020000e-08	2.917000e-09	3.708000e-09
2.500000e+01	2.000000e-02	1.488000e-09	1.028000e-09	5.333000e-10	2.307000e-08	1.229000e-08	3.910000e-08	1.398000e-08	5.351000e-08	7.726000e-09	9.821000e-09
