#M_sun	he-3	he-4
8	0	0
1.200000e+01	3.637000e-05	2.721000e-01
1.500000e+01	1.346000e-04	8.733000e-01
2.000000e+01	1.776000e-04	1.453000e+00
2.500000e+01	4.847000e-04	4.300000e+00
