#M_sun	hg-196	hg-198	hg-199	hg-200	hg-201	hg-202	hg-204
8	0	0	0	0	0	0	0
1.200000e+01	2.731000e-12	1.792000e-10	3.049000e-10	4.195000e-10	2.406000e-10	5.478000e-10	1.272000e-10
1.500000e+01	8.566000e-12	5.622000e-10	9.564000e-10	1.316000e-09	7.547000e-10	1.718000e-09	3.989000e-10
2.000000e+01	1.385000e-11	9.087000e-10	1.546000e-09	2.127000e-09	1.220000e-09	2.777000e-09	6.448000e-10
2.500000e+01	3.667000e-11	2.407000e-09	4.094000e-09	5.632000e-09	3.230000e-09	7.355000e-09	1.708000e-09
