#M	Z	dy-156	dy-158	dy-160	dy-161	dy-162	dy-163	dy-164
1.200000e+01	2.000000e-02	9.109000e-13	1.582000e-12	3.904000e-11	3.174000e-10	4.309000e-10	4.232000e-10	4.820000e-10
1.500000e+01	2.000000e-02	2.857000e-12	4.961000e-12	1.224000e-10	9.957000e-10	1.352000e-09	1.327000e-09	1.512000e-09
2.000000e+01	2.000000e-02	4.618000e-12	8.018000e-12	1.979000e-10	1.609000e-09	2.185000e-09	2.146000e-09	2.444000e-09
2.500000e+01	2.000000e-02	1.223000e-11	2.123000e-11	5.241000e-10	4.262000e-09	5.785000e-09	5.682000e-09	6.472000e-09
