#M	Z	br-79	br-81
1.200000e+01	2.000000e-02	1.261000e-08	1.258000e-08
1.500000e+01	2.000000e-02	3.955000e-08	3.945000e-08
2.000000e+01	2.000000e-02	6.392000e-08	6.377000e-08
2.500000e+01	2.000000e-02	1.693000e-07	1.689000e-07
