#M_sun	la-138	la-139
8	0	0
1.200000e+01	1.454000e-12	1.625000e-09
1.500000e+01	4.561000e-12	5.096000e-09
2.000000e+01	7.372000e-12	8.237000e-09
2.500000e+01	1.950000e-11	2.181000e-08
