#M_sun	yb-168	yb-170	yb-171	yb-172	yb-173	yb-174	yb-176
8	0	0	0	0	0	0	0
1.200000e+01	1.437000e-12	3.400000e-11	1.606000e-10	2.470000e-10	1.836000e-10	3.644000e-10	1.477000e-10
1.500000e+01	4.507000e-12	1.066000e-10	5.039000e-10	7.748000e-10	5.758000e-10	1.143000e-09	4.634000e-10
2.000000e+01	7.284000e-12	1.724000e-10	8.145000e-10	1.252000e-09	9.307000e-10	1.847000e-09	7.490000e-10
2.500000e+01	1.929000e-11	4.565000e-10	2.157000e-09	3.317000e-09	2.465000e-09	4.892000e-09	1.984000e-09
