#M	Z	hf-174	hf-176	hf-177	hf-178	hf-179	hf-180
1.200000e+01	2.000000e-02	1.117000e-12	3.663000e-11	1.305000e-10	1.925000e-10	9.666000e-11	2.511000e-10
1.500000e+01	2.000000e-02	3.505000e-12	1.149000e-10	4.093000e-10	6.039000e-10	3.032000e-10	7.877000e-10
2.000000e+01	2.000000e-02	5.665000e-12	1.857000e-10	6.616000e-10	9.761000e-10	4.901000e-10	1.273000e-09
2.500000e+01	2.000000e-02	1.500000e-11	4.918000e-10	1.752000e-09	2.585000e-09	1.298000e-09	3.372000e-09
