#M_sun	fe-54	fe-56	fe-57	fe-58
8	0	0	0	0
1.200000e+01	7.368000e-05	1.199000e-03	2.819000e-05	3.818000e-06
1.500000e+01	2.311000e-04	3.762000e-03	8.843000e-05	1.198000e-05
2.000000e+01	3.735000e-04	6.081000e-03	1.429000e-04	1.936000e-05
2.500000e+01	9.892000e-04	1.610000e-02	3.785000e-04	5.126000e-05
