#M_sun	mo-92	mo-94	mo-95	mo-96	mo-97	mo-98	mo-100
8	0	0	0	0	0	0	0
1.200000e+01	9.189000e-10	5.851000e-10	1.018000e-09	1.078000e-09	6.240000e-10	1.592000e-09	6.485000e-10
1.500000e+01	2.882000e-09	1.835000e-09	3.194000e-09	3.380000e-09	1.957000e-09	4.994000e-09	2.034000e-09
2.000000e+01	4.659000e-09	2.967000e-09	5.162000e-09	5.464000e-09	3.163000e-09	8.072000e-09	3.288000e-09
2.500000e+01	1.234000e-08	7.856000e-09	1.367000e-08	1.447000e-08	8.378000e-09	2.138000e-08	8.708000e-09
