#M	Z	se-74	se-76	se-77	se-78	se-80	se-82
1.200000e+01	2.000000e-02	1.087000e-09	1.176000e-08	9.715000e-09	3.064000e-08	6.558000e-08	1.183000e-08
1.500000e+01	2.000000e-02	3.410000e-09	3.690000e-08	3.047000e-08	9.611000e-08	2.057000e-07	3.711000e-08
2.000000e+01	2.000000e-02	5.512000e-09	5.964000e-08	4.925000e-08	1.553000e-07	3.325000e-07	5.998000e-08
2.500000e+01	2.000000e-02	1.460000e-08	1.579000e-07	1.304000e-07	4.114000e-07	8.805000e-07	1.589000e-07
