#M	Z	re-185	re-187
1.200000e+01	2.000000e-02	9.510000e-11	1.613000e-10
1.500000e+01	2.000000e-02	2.983000e-10	5.093000e-10
2.000000e+01	2.000000e-02	4.821000e-10	8.280000e-10
2.500000e+01	2.000000e-02	1.277000e-09	2.224000e-09
