#M	Z	cu-63	cu-65
1.200000e+01	2.000000e-02	5.990000e-07	2.754000e-07
1.500000e+01	2.000000e-02	1.879000e-06	8.638000e-07
2.000000e+01	2.000000e-02	3.037000e-06	1.396000e-06
2.500000e+01	2.000000e-02	8.043000e-06	3.698000e-06
