#M	Z	b-11
1.200000e+01	2.000000e-02	2.592000e-09
1.500000e+01	2.000000e-02	8.129000e-09
2.000000e+01	2.000000e-02	1.314000e-08
2.500000e+01	2.000000e-02	3.480000e-08
