#M	Z	o-16	o-17	o-18
1.200000e+01	2.000000e-02	7.873000e-03	5.394000e-06	1.541000e-05
1.500000e+01	2.000000e-02	2.477000e-02	1.286000e-05	5.160000e-05
2.000000e+01	2.000000e-02	3.912000e-02	2.045000e-05	8.047000e-05
2.500000e+01	2.000000e-02	9.216000e-02	5.103000e-05	1.812000e-04
