#M	Z	ge-70	ge-72	ge-73	ge-74	ge-76
1.200000e+01	2.000000e-02	4.680000e-08	6.271000e-08	1.774000e-08	8.375000e-08	1.781000e-08
1.500000e+01	2.000000e-02	1.468000e-07	1.967000e-07	5.564000e-08	2.627000e-07	5.588000e-08
2.000000e+01	2.000000e-02	2.373000e-07	3.180000e-07	8.993000e-08	4.246000e-07	9.032000e-08
2.500000e+01	2.000000e-02	6.284000e-07	8.420000e-07	2.382000e-07	1.125000e-06	2.392000e-07
