#M	Z	ca-40	ca-42	ca-43	ca-44	ca-46	ca-48
1.200000e+01	2.000000e-02	6.557000e-05	4.595000e-07	9.816000e-08	1.552000e-06	3.111000e-09	1.518000e-07
1.500000e+01	2.000000e-02	2.057000e-04	1.441000e-06	3.079000e-07	4.868000e-06	9.759000e-09	4.761000e-07
2.000000e+01	2.000000e-02	3.324000e-04	2.330000e-06	4.977000e-07	7.869000e-06	1.577000e-08	7.695000e-07
2.500000e+01	2.000000e-02	8.804000e-04	6.170000e-06	1.318000e-06	2.084000e-05	4.178000e-08	2.038000e-06
