#M	Z	gd-152	gd-154	gd-155	gd-156	gd-157	gd-158	gd-160
1.200000e+01	2.000000e-02	2.675000e-12	2.913000e-11	1.989000e-10	2.769000e-10	2.131000e-10	3.403000e-10	3.034000e-10
1.500000e+01	2.000000e-02	8.389000e-12	9.136000e-11	6.240000e-10	8.685000e-10	6.684000e-10	1.067000e-09	9.516000e-10
2.000000e+01	2.000000e-02	1.356000e-11	1.477000e-10	1.009000e-09	1.404000e-09	1.080000e-09	1.725000e-09	1.538000e-09
2.500000e+01	2.000000e-02	3.591000e-11	3.911000e-10	2.671000e-09	3.718000e-09	2.861000e-09	4.569000e-09	4.073000e-09
