#M	Z	tl-203	tl-205
1.200000e+01	2.000000e-02	2.923000e-10	7.046000e-10
1.500000e+01	2.000000e-02	9.168000e-10	2.210000e-09
2.000000e+01	2.000000e-02	1.482000e-09	3.572000e-09
2.500000e+01	2.000000e-02	3.925000e-09	9.460000e-09
