#M	Z	rh-103
1.200000e+01	2.000000e-02	9.572000e-10
1.500000e+01	2.000000e-02	3.002000e-09
2.000000e+01	2.000000e-02	4.853000e-09
2.500000e+01	2.000000e-02	1.285000e-08
