#M_sun	lu-175	lu-176
8	0	0
1.200000e+01	1.659000e-10	4.106000e-11
1.500000e+01	5.203000e-10	1.288000e-10
2.000000e+01	8.410000e-10	2.081000e-10
2.500000e+01	2.227000e-09	5.512000e-10
