#M_sun	pb-206	pb-207	pb-204	pb-208
8	0	0	0	0
1.200000e+01	2.539000e-09	2.804000e-09	2.660000e-10	8.032000e-09
1.500000e+01	7.964000e-09	8.795000e-09	8.343000e-10	2.519000e-08
2.000000e+01	1.287000e-08	1.422000e-08	1.349000e-09	4.072000e-08
2.500000e+01	3.409000e-08	3.765000e-08	3.571000e-09	1.078000e-07
