#M_sun	sm-144	sm-147	sm-148	sm-149	sm-150	sm-152	sm-154
8	0	0	0	0	0	0	0
1.200000e+01	3.343000e-11	1.665000e-10	1.257000e-10	1.555000e-10	8.361000e-11	3.070000e-10	2.647000e-10
1.500000e+01	1.049000e-10	5.222000e-10	3.941000e-10	4.878000e-10	2.623000e-10	9.630000e-10	8.301000e-10
2.000000e+01	1.695000e-10	8.440000e-10	6.371000e-10	7.885000e-10	4.239000e-10	1.557000e-09	1.342000e-09
2.500000e+01	4.488000e-10	2.235000e-09	1.687000e-09	2.088000e-09	1.123000e-09	4.122000e-09	3.553000e-09
