#M	Z	p-31
1.200000e+01	2.000000e-02	6.450000e-06
1.500000e+01	2.000000e-02	2.023000e-05
2.000000e+01	2.000000e-02	3.270000e-05
2.500000e+01	2.000000e-02	8.663000e-05
