#M	Z	ag-107	ag-109
1.200000e+01	2.000000e-02	7.115000e-10	6.734000e-10
1.500000e+01	2.000000e-02	2.232000e-09	2.112000e-09
2.000000e+01	2.000000e-02	3.607000e-09	3.414000e-09
2.500000e+01	2.000000e-02	9.553000e-09	9.041000e-09
