#M_sun	cr-50	cr-52	cr-53	cr-54
8	0	0	0	0
1.200000e+01	7.501000e-07	1.504000e-05	1.739000e-06	4.409000e-07
1.500000e+01	2.353000e-06	4.718000e-05	5.453000e-06	1.383000e-06
2.000000e+01	3.803000e-06	7.627000e-05	8.814000e-06	2.235000e-06
2.500000e+01	1.007000e-05	2.020000e-04	2.334000e-05	5.919000e-06
