#M_sun	er-162	er-164	er-166	er-167	er-168	er-170
8	0	0	0	0	0	0
1.200000e+01	1.460000e-12	1.736000e-11	3.671000e-10	2.519000e-10	2.961000e-10	1.670000e-10
1.500000e+01	4.580000e-12	5.445000e-11	1.151000e-09	7.902000e-10	9.287000e-10	5.237000e-10
2.000000e+01	7.403000e-12	8.801000e-11	1.861000e-09	1.277000e-09	1.501000e-09	8.466000e-10
2.500000e+01	1.960000e-11	2.331000e-10	4.928000e-09	3.382000e-09	3.976000e-09	2.242000e-09
