#M_sun	pd-102	pd-104	pd-105	pd-106	pd-108	pd-110
8	0	0	0	0	0	0
1.200000e+01	3.849000e-11	4.286000e-10	8.674000e-10	1.072000e-09	1.057000e-09	4.769000e-10
1.500000e+01	1.207000e-10	1.344000e-09	2.721000e-09	3.362000e-09	3.316000e-09	1.496000e-09
2.000000e+01	1.951000e-10	2.173000e-09	4.398000e-09	5.434000e-09	5.360000e-09	2.418000e-09
2.500000e+01	5.168000e-10	5.755000e-09	1.165000e-08	1.439000e-08	1.419000e-08	6.404000e-09
