#M	Z	ba-130	ba-132	ba-134	ba-135	ba-136	ba-137	ba-138
1.200000e+01	2.000000e-02	1.647000e-11	1.599000e-11	3.877000e-10	1.065000e-09	1.279000e-09	1.842000e-09	1.185000e-08
1.500000e+01	2.000000e-02	5.165000e-11	5.016000e-11	1.216000e-09	3.342000e-09	4.010000e-09	5.778000e-09	3.715000e-08
2.000000e+01	2.000000e-02	8.348000e-11	8.108000e-11	1.966000e-09	5.401000e-09	6.482000e-09	9.340000e-09	6.005000e-08
2.500000e+01	2.000000e-02	2.211000e-10	2.147000e-10	5.206000e-09	1.430000e-08	1.717000e-08	2.473000e-08	1.590000e-07
