#M	Z	ar-36	ar-38	ar-40
1.200000e+01	2.000000e-02	7.444000e-05	1.429000e-05	2.405000e-08
1.500000e+01	2.000000e-02	2.335000e-04	4.481000e-05	7.544000e-08
2.000000e+01	2.000000e-02	3.774000e-04	7.243000e-05	1.219000e-07
2.500000e+01	2.000000e-02	9.994000e-04	1.918000e-04	3.229000e-07
