#M_sun	n-14	n-15
8	0	0
1.200000e+01	2.658000e-03	2.191000e-06
1.500000e+01	7.385000e-03	8.682000e-06
2.000000e+01	1.309000e-02	1.316000e-05
2.500000e+01	5.051000e-02	3.001000e-05
