#M	Z	nb-93
1.200000e+01	2.000000e-02	1.724000e-09
1.500000e+01	2.000000e-02	5.409000e-09
2.000000e+01	2.000000e-02	8.742000e-09
2.500000e+01	2.000000e-02	2.315000e-08
