#M	Z	al-27
1.200000e+01	2.000000e-02	5.883000e-05
1.500000e+01	2.000000e-02	1.846000e-04
2.000000e+01	2.000000e-02	2.986000e-04
2.500000e+01	2.000000e-02	7.922000e-04
