#M_sun	rb-85	rb-87
8	0	0
1.200000e+01	1.164000e-08	4.594000e-09
1.500000e+01	3.650000e-08	1.441000e-08
2.000000e+01	5.901000e-08	2.329000e-08
2.500000e+01	1.563000e-07	6.169000e-08
