#M_sun	te-120	te-122	te-123	te-124	te-125	te-126	te-128	te-130
8	0	0	0	0	0	0	0	0
1.200000e+01	1.478000e-11	4.074000e-10	1.433000e-10	7.661000e-10	1.145000e-09	3.063000e-09	5.203000e-09	5.636000e-09
1.500000e+01	4.635000e-11	1.278000e-09	4.494000e-10	2.403000e-09	3.590000e-09	9.608000e-09	1.632000e-08	1.768000e-08
2.000000e+01	7.492000e-11	2.065000e-09	7.263000e-10	3.884000e-09	5.804000e-09	1.553000e-08	2.638000e-08	2.858000e-08
2.500000e+01	1.984000e-10	5.470000e-09	1.924000e-09	1.029000e-08	1.537000e-08	4.113000e-08	6.986000e-08	7.568000e-08
