#M	Z	ti-46	ti-47	ti-48	ti-49	ti-50
1.200000e+01	2.000000e-02	2.933000e-07	2.702000e-07	2.735000e-06	2.049000e-07	2.004000e-07
1.500000e+01	2.000000e-02	9.199000e-07	8.474000e-07	8.579000e-06	6.426000e-07	6.285000e-07
2.000000e+01	2.000000e-02	1.487000e-06	1.370000e-06	1.387000e-05	1.039000e-06	1.016000e-06
2.500000e+01	2.000000e-02	3.938000e-06	3.628000e-06	3.672000e-05	2.751000e-06	2.690000e-06
