#M_sun	h-1	h-2
8	0	0
1.200000e+01	6.172000e-01	3.921000e-06
1.500000e+01	1.916000e+00	8.753000e-06
2.000000e+01	3.056000e+00	3.163000e-05
2.500000e+01	7.642000e+00	1.192000e-05
