#M_sun	ir-191	ir-193
8	0	0
1.200000e+01	1.232000e-09	2.095000e-09
1.500000e+01	3.864000e-09	6.571000e-09
2.000000e+01	6.245000e-09	1.062000e-08
2.500000e+01	1.654000e-08	2.813000e-08
