#M_sun	s-32	s-33	s-34	s-36
8	0	0	0	0
1.200000e+01	3.640000e-04	2.963000e-06	1.716000e-05	7.327000e-08
1.500000e+01	1.142000e-03	9.293000e-06	5.381000e-05	2.298000e-07
2.000000e+01	1.845000e-03	1.502000e-05	8.698000e-05	3.714000e-07
2.500000e+01	4.887000e-03	3.978000e-05	2.304000e-04	9.837000e-07
