#M	Z	nd-142	nd-143	nd-144	nd-145	nd-146	nd-148	nd-150
1.200000e+01	2.000000e-02	9.003000e-10	4.069000e-10	8.010000e-10	2.809000e-10	5.852000e-10	1.983000e-10	1.968000e-10
1.500000e+01	2.000000e-02	2.824000e-09	1.276000e-09	2.512000e-09	8.811000e-10	1.835000e-09	6.220000e-10	6.172000e-10
2.000000e+01	2.000000e-02	4.564000e-09	2.063000e-09	4.061000e-09	1.424000e-09	2.967000e-09	1.005000e-09	9.976000e-10
2.500000e+01	2.000000e-02	1.209000e-08	5.463000e-09	1.075000e-08	3.772000e-09	7.857000e-09	2.662000e-09	2.642000e-09
