#M_sun	si-28	si-29	si-30
8	0	0	0
1.200000e+01	6.764000e-04	3.557000e-05	2.426000e-05
1.500000e+01	2.121000e-03	1.116000e-04	7.608000e-05
2.000000e+01	3.429000e-03	1.803000e-04	1.230000e-04
2.500000e+01	9.081000e-03	4.776000e-04	3.256000e-04
