#M_sun	eu-151	eu-153
8	0	0
1.200000e+01	1.848000e-10	2.044000e-10
1.500000e+01	5.796000e-10	6.410000e-10
2.000000e+01	9.368000e-10	1.036000e-09
2.500000e+01	2.481000e-09	2.744000e-09
