#M	Z	y-89
1.200000e+01	2.000000e-02	1.116000e-08
1.500000e+01	2.000000e-02	3.499000e-08
2.000000e+01	2.000000e-02	5.656000e-08
2.500000e+01	2.000000e-02	1.498000e-07
