#M	Z	sb-121	sb-123
1.200000e+01	2.000000e-02	5.734000e-10	4.359000e-10
1.500000e+01	2.000000e-02	1.798000e-09	1.367000e-09
2.000000e+01	2.000000e-02	2.907000e-09	2.210000e-09
2.500000e+01	2.000000e-02	7.698000e-09	5.852000e-09
