#M_sun	pt-190	pt-192	pt-194	pt-195	pt-196	pt-198
8	0	0	0	0	0	0
1.200000e+01	9.152000e-13	5.309000e-11	2.260000e-09	2.331000e-09	1.748000e-09	5.011000e-10
1.500000e+01	2.871000e-12	1.665000e-10	7.087000e-09	7.311000e-09	5.482000e-09	1.572000e-09
2.000000e+01	4.640000e-12	2.692000e-10	1.146000e-08	1.182000e-08	8.862000e-09	2.541000e-09
2.500000e+01	1.229000e-11	7.128000e-10	3.034000e-08	3.129000e-08	2.347000e-08	6.728000e-09
