#M	Z	mn-55
1.200000e+01	2.000000e-02	9.966000e-06
1.500000e+01	2.000000e-02	3.126000e-05
2.000000e+01	2.000000e-02	5.053000e-05
2.500000e+01	2.000000e-02	1.338000e-04
