#M_sun	sr-84	sr-86	sr-87	sr-88
8	0	0	0	0
1.200000e+01	3.503608e-11	1.021479e-10	4.760830e-11	5.344390e-10
1.500000e+01	2.510999e-08	4.806853e-09	1.934889e-09	1.790874e-08
2.000000e+01	6.517250e-11	3.907642e-10	2.412967e-10	2.717835e-09
2.500000e+01	5.022170e-12	3.628678e-10	2.410235e-10	1.604009e-09
