#M	Z	mg-24	mg-25	mg-26
1.200000e+01	1.000000e-04	1.632993e-02	3.116692e-05	1.866633e-05
1.500000e+01	1.000000e-04	7.131996e-02	2.655998e-03	1.635998e-03
2.000000e+01	1.000000e-04	1.104000e-01	3.566998e-03	2.032998e-03
2.500000e+01	1.000000e-04	2.092994e-02	5.319969e-04	3.163965e-04
