#M	Z	er-162	er-164	er-166	er-167	er-168	er-170
1.200000e+01	1.000000e-04	2.222061e-14	3.395750e-13	3.951560e-12	2.516030e-12	3.477930e-12	1.838065e-12
1.500000e+01	1.000000e-04	5.178967e-14	5.488205e-13	5.044860e-12	3.106042e-12	4.412822e-12	2.396388e-12
2.000000e+01	1.000000e-04	1.020626e-13	9.277554e-13	6.738600e-12	3.910548e-12	5.409417e-12	2.782724e-12
2.500000e+01	1.000000e-04	2.497608e-14	3.973400e-13	7.009930e-12	4.778970e-12	6.355040e-12	3.584690e-12
