#M	Z	ce-136	ce-138	ce-140	ce-142
1.200000e+01	1.000000e-04	5.641385e-13	1.943047e-13	3.951300e-11	5.451450e-12
1.500000e+01	1.000000e-04	8.527899e-13	3.604121e-13	5.783720e-11	6.919890e-12
2.000000e+01	1.000000e-04	2.272805e-12	8.765332e-13	7.838463e-11	8.634850e-12
2.500000e+01	1.000000e-04	1.305670e-13	1.818440e-13	7.862700e-11	1.180922e-11
