#M	Z	gd-152	gd-154	gd-155	gd-156	gd-157	gd-158	gd-160
1.200000e+01	1.000000e-04	8.760290e-14	4.000160e-13	1.953545e-12	3.225840e-12	2.123870e-12	3.703830e-12	3.030580e-12
1.500000e+01	1.000000e-04	9.554612e-14	4.817955e-13	2.412505e-12	4.010352e-12	2.597114e-12	4.668601e-12	3.720620e-12
2.000000e+01	1.000000e-04	1.434315e-13	6.337540e-13	3.088905e-12	5.033908e-12	3.314542e-12	5.965285e-12	4.979230e-12
2.500000e+01	1.000000e-04	5.388290e-14	6.021250e-13	4.150290e-12	5.682880e-12	4.233670e-12	7.132100e-12	6.456720e-12
