#M_sun	fe-54	fe-56	fe-57	fe-58
8	0	0	0	0
1.200000e+01	1.167996e-03	2.369999e-01	6.200999e-03	1.382186e-07
1.500000e+01	1.311998e-03	4.750997e-02	1.910999e-03	8.037945e-07
2.000000e+01	4.863811e-05	2.563928e-05	1.185278e-06	9.930022e-07
2.500000e+01	1.328774e-06	2.254749e-05	8.026660e-07	5.092329e-07
