#M	Z	zr-90	zr-91	zr-92	zr-94	zr-96
1.200000e+01	1.000000e-04	1.926382e-10	3.584410e-11	5.218460e-11	5.226650e-11	1.139160e-11
1.500000e+01	1.000000e-04	1.523996e-07	3.071992e-08	1.144690e-10	7.809430e-11	1.544768e-11
2.000000e+01	1.000000e-04	4.742434e-10	1.085214e-10	1.432785e-10	1.141742e-10	2.040931e-11
2.500000e+01	1.000000e-04	3.672904e-10	9.795550e-11	1.265923e-10	1.245849e-10	2.746462e-11
