#M	Z	he-3	he-4
1.200000e+01	1.000000e-04	2.022020e-04	3.999430e+00
1.500000e+01	1.000000e-04	2.174337e-04	4.862101e+00
2.000000e+01	1.000000e-04	2.383421e-04	6.504230e+00
2.500000e+01	1.000000e-04	2.648630e-04	8.227136e+00
