#M	Z	cu-63	cu-65
1.200000e+01	1.000000e-04	1.115000e-04	8.440987e-06
1.500000e+01	1.000000e-04	6.951000e-04	3.759999e-05
2.000000e+01	1.000000e-04	8.520466e-08	7.396295e-08
2.500000e+01	1.000000e-04	1.572738e-07	6.499794e-08
