#M_sun	ag-107	ag-109
8	0	0
1.200000e+01	7.345190e-12	6.715000e-12
1.500000e+01	9.343350e-12	8.611400e-12
2.000000e+01	1.143178e-11	1.091275e-11
2.500000e+01	1.494885e-11	1.423052e-11
