#M	Z	k-39	k-40	k-41
1.200000e+01	1.000000e-04	6.802983e-05	9.092979e-09	2.437987e-06
1.500000e+01	1.000000e-04	4.720990e-05	9.433999e-08	1.998993e-06
2.000000e+01	1.000000e-04	6.830991e-05	6.266999e-08	2.513993e-06
2.500000e+01	1.000000e-04	1.507451e-07	1.930980e-09	2.480824e-08
