#M	Z	ar-36	ar-38	ar-40
1.200000e+01	1.000000e-04	1.036999e-02	4.633993e-04	1.421857e-09
1.500000e+01	1.000000e-04	7.308996e-03	3.751996e-04	3.985934e-08
2.000000e+01	1.000000e-04	2.659996e-03	8.349996e-04	1.072938e-08
2.500000e+01	1.000000e-04	1.076350e-05	4.244746e-07	2.317895e-08
