#M	Z	rb-85	rb-87
1.200000e+01	1.000000e-04	1.411469e-10	6.366170e-11
1.500000e+01	1.000000e-04	1.430679e-09	1.597731e-10
2.000000e+01	1.000000e-04	7.873019e-10	3.688823e-10
2.500000e+01	1.000000e-04	4.425905e-10	1.412988e-10
