#M_sun	c-12	c-13
8	0	0
1.200000e+01	1.225996e-01	2.405693e-06
1.500000e+01	1.645998e-01	3.140773e-06
2.000000e+01	1.795997e-01	1.608000e-02
2.500000e+01	1.847995e-01	1.888000e-02
