#M	Z	ba-130	ba-132	ba-134	ba-135	ba-136	ba-137	ba-138
1.200000e+01	1.000000e-04	1.261218e-12	2.350400e-13	4.746570e-12	1.110937e-11	1.402924e-11	1.884246e-11	1.260371e-10
1.500000e+01	1.000000e-04	2.725545e-12	4.025583e-13	6.440290e-12	1.471057e-11	2.661469e-11	2.701912e-11	2.028728e-10
2.000000e+01	1.000000e-04	7.860578e-12	8.899904e-13	8.560070e-12	1.847271e-11	3.833725e-11	3.372282e-11	2.752966e-10
2.500000e+01	1.000000e-04	2.817791e-13	2.744999e-13	1.037303e-11	2.219336e-11	3.242402e-11	4.149935e-11	2.661814e-10
